"","open_water","developed_open_space","developed_low_intensity","developed_medium_inensity","developed_high_intensity","barren_land","deciduous_forest","evergreen_forest","mixed_forest","shrub_scrub","grassland_herbaceous","pasture_hay","cultivated_crops","woody_wetlands","emergent_herbaceous_wetlands"
"P2_C0144",614700,1631700,375300,151200,19800,900,16471800,1865700,1008000,169200,404100,10800900,914400,3966300,600300
"P2_C0145",593100,1531800,365400,154800,18900,900,16257600,1772100,972000,196200,419400,11359800,917100,3823200,607500
"P2_C0146",1039500,1038600,64800,38700,900,0,27232200,2196000,1661400,527400,197100,471600,0,4415400,95400
"P2_C0147",455400,916200,180000,37800,5400,9900,20111400,5452200,2003400,2008800,277200,0,0,6958800,573300
"P2_C0148",160200,1008900,8100,2700,0,6300,27066600,2202300,1222200,946800,412200,25200,0,5825700,107100
"P2_C0149",209700,918000,11700,8100,0,8100,29584800,1658700,1105200,1122300,700200,58500,0,3468600,136800
"P2_C0150",315000,1597500,261000,104400,5400,73800,21759300,5550300,3615300,369000,209700,1739700,188100,3030300,173700
"P2_C0151",315000,1597500,261000,104400,5400,73800,21759300,5550300,3615300,369000,209700,1739700,188100,3030300,173700
"P2_C0152",533700,2931300,1825200,1351800,442800,11700,7261200,2838600,1224000,228600,167400,8364600,3061800,8096400,657000
"P2_C0153",237600,559800,359100,79200,5400,6300,14568300,3618000,378900,733500,159300,8707500,1281600,6921000,1374300
"P2_C0154",485100,1639800,203400,123300,5400,17100,20247300,7144200,1776600,1164600,594900,369000,0,5121000,99900
"P2_C0155",485100,1639800,203400,123300,5400,17100,20247300,7144200,1776600,1164600,594900,369000,0,5121000,99900
"P2_C0156",197100,1627200,207000,117900,5400,13500,20295900,7513200,2007000,1076400,545400,357300,0,4927500,100800
"P2_C0157",271800,584100,355500,75600,4500,7200,15067800,3679200,381600,758700,182700,8112600,1187100,6924600,1403100
"P2_C0158",336600,1465200,180000,109800,5400,20700,21160800,6064200,1336500,1615500,711000,378000,0,5491800,113400
"P2_C0159",271800,584100,355500,75600,4500,7200,15067800,3679200,381600,758700,182700,8112600,1187100,6924600,1403100
"P2_C0160",336600,1465200,180000,109800,5400,20700,21160800,6064200,1336500,1615500,711000,378000,0,5491800,113400
"P2_C0161",975600,849600,62100,24300,1800,0,26672400,2051100,1521900,535500,235800,305100,0,5688000,72900
"P2_C0162",516600,903600,34200,7200,0,5400,25644600,996300,1442700,950400,83700,387000,0,7850700,157500
"P2_C0163",979200,846900,57600,28800,900,0,26918100,1899900,1551600,499500,208800,476100,0,5456700,71100
"P2_C0164",106200,1906200,154800,54900,2700,71100,20061900,4213800,2664000,78300,454500,4014000,916200,4110300,171000
"P2_C0165",6336900,609300,223200,53100,5400,21600,23844600,1409400,1091700,722700,404100,0,0,4176000,87300
"P2_C0166",6336900,609300,223200,53100,5400,21600,23844600,1409400,1091700,722700,404100,0,0,4176000,87300
"P2_C0167",554400,2991600,1892700,1413900,462600,11700,7253100,2790900,1206000,227700,169200,8508600,2960100,7910100,639900
"P2_C0168",555300,2990700,1899900,1415700,462600,11700,7264800,2788200,1205100,227700,168300,8514000,2952000,7901100,639900
"P2_C0169",6787800,585900,213300,50400,2700,13500,23616900,1412100,1119600,657000,401400,0,0,4046400,86400
"P2_C0170",6787800,585900,213300,50400,2700,13500,23616900,1412100,1119600,657000,401400,0,0,4046400,86400
"P2_C0171",106200,1908000,155700,54900,2700,71100,20037600,4219200,2655000,77400,459000,4003200,919800,4142700,174600
"P2_C0172",829800,1560600,241200,95400,4500,72000,22608000,5491800,3116700,443700,216900,1225800,32400,2853000,196200
"P2_C0173",829800,1560600,241200,95400,4500,72000,22608000,5491800,3116700,443700,216900,1225800,32400,2853000,196200
"P2_C0174",6211800,495900,207900,49500,2700,10800,23939100,1411200,1135800,810000,402300,0,0,4223700,87300
"P2_C0175",6211800,495900,207900,49500,2700,10800,23939100,1411200,1135800,810000,402300,0,0,4223700,87300
"P2_C0176",107100,1903500,155700,54000,2700,71100,20097000,4222800,2673000,80100,449100,3952800,916200,4128300,175500
"P2_C0177",186300,1638900,207000,113400,5400,13500,20205900,7502400,1986300,1137600,587700,375300,0,4932900,99000
"P2_C0178",186300,1638900,207000,113400,5400,13500,20205900,7502400,1986300,1137600,587700,375300,0,4932900,99000
"P2_C0179",788400,1107000,86400,37800,900,17100,27740700,2546100,2130300,383400,142200,940500,0,2914200,165600
"P2_C0180",796500,1093500,83700,38700,900,17100,27738000,2515500,2095200,379800,134100,926100,0,3023100,164700
"P2_C0181",648900,1075500,89100,44100,900,6300,28316700,2100600,1766700,269100,211500,838800,0,3424500,197100
"P2_C0182",648900,1075500,89100,44100,900,6300,28316700,2100600,1766700,269100,211500,838800,0,3424500,197100
"P2_C0183",515700,896400,33300,6300,0,5400,25659900,1005300,1448100,946800,82800,379800,0,7849800,154800
"P2_C0184",999900,975600,62100,33300,900,0,27018900,2101500,1694700,456300,185400,474300,0,4921200,64800
"P2_C0185",468900,1131300,66600,32400,0,29700,28157400,1563300,2062800,255600,235800,543600,0,4214700,220500
"P2_C0186",469800,1130400,66600,30600,0,29700,28162800,1563300,2055600,256500,235800,540000,0,4219200,220500
"P2_C0187",106200,1908000,155700,54900,2700,71100,20037600,4219200,2655000,77400,459000,4003200,919800,4142700,174600
"P2_C0188",140400,1639800,206100,114300,5400,13500,20222100,7602300,1992600,1148400,570600,372600,0,4865400,97200
"P2_C0189",140400,1639800,206100,114300,5400,13500,20222100,7602300,1992600,1148400,570600,372600,0,4865400,97200
"P2_C0190",555300,1078200,82800,41400,900,6300,28241100,1638000,1884600,210600,231300,851400,0,3924000,245700
"P2_C0191",555300,1078200,82800,41400,900,6300,28241100,1638000,1884600,210600,231300,851400,0,3924000,245700
"P2_C0192",629100,1078200,90900,45000,900,7200,28900800,1713600,1733400,303300,265500,1155600,0,2848500,224100
"P2_C0193",629100,1078200,90900,45000,900,7200,28900800,1713600,1733400,303300,265500,1155600,0,2848500,224100
"P2_C0194",490500,2742300,1593000,1207800,416700,11700,7280100,2868300,1224000,241200,153000,8508600,3281400,8307900,654300
"P2_C0195",490500,2742300,1593000,1207800,416700,11700,7280100,2868300,1224000,241200,153000,8508600,3281400,8307900,654300
"P2_C0196",729900,1359900,172800,71100,2700,70200,23234400,5419800,2987100,514800,171900,1047600,32400,2997000,183600
"P2_C0197",729900,1359900,172800,71100,2700,70200,23234400,5419800,2987100,514800,171900,1047600,32400,2997000,183600
"P2_C0198",485100,1090800,61200,28800,0,29700,28329300,1546200,2013300,304200,236700,508500,0,4128300,218700
"P2_C0199",484200,1089900,61200,28800,0,29700,28340100,1545300,2010600,303300,236700,508500,0,4130100,218700
"P2_C0200",107100,1903500,155700,54000,2700,71100,20090700,4227300,2671200,79200,450000,3959100,916200,4130100,175500
"P2_C0201",477900,1125000,72900,33300,0,29700,28220400,1550700,2065500,257400,235800,541800,0,4142700,229500
"P2_C0202",477900,1125000,72900,33300,0,29700,28222200,1550700,2065500,257400,235800,541800,0,4142700,229500
"P2_C0203",565200,1440900,187200,109800,5400,17100,21013200,6218100,1496700,1086300,540900,372600,0,5825700,119700
"P2_C0204",214200,564300,348300,78300,5400,6300,14661000,3576600,360900,732600,142200,8720100,1296000,6922800,1367100
"P2_C0205",565200,1440900,187200,109800,5400,17100,21013200,6218100,1496700,1086300,540900,372600,0,5825700,119700
"P2_C0206",106200,1908000,155700,54900,2700,71100,20037600,4219200,2655000,77400,459000,4003200,919800,4142700,174600
"P2_C0207",106200,1907100,154800,54900,2700,71100,20055600,4210200,2664900,79200,454500,4012200,916200,4107600,171000
"P2_C0208",533700,2937600,1827900,1353600,442800,11700,7260300,2838600,1223100,228600,167400,8363700,3052800,8094600,657000
"P2_C0209",1041300,1047600,64800,37800,900,0,27059400,2335500,1721700,501300,198000,477000,0,4413600,95400
"P2_C0210",132300,1593000,225900,89100,4500,72900,20503800,5932800,4281300,372600,187200,2005200,188100,3159000,250200
"P2_C0211",132300,1593000,225900,89100,4500,72900,20503800,5932800,4281300,372600,187200,2005200,188100,3159000,250200
"P2_C0212",729000,1122300,117000,55800,1800,19800,27750600,2548800,2145600,380700,163800,957600,0,2835000,166500
"P2_C0213",729000,1122300,117000,55800,1800,19800,27750600,2548800,2145600,380700,163800,957600,0,2835000,166500
"P2_C0214",252900,1600200,203400,121500,4500,13500,20136600,7767000,2021400,1027800,410400,338400,0,4985100,109800
"P2_C0215",252900,1600200,203400,121500,4500,13500,20136600,7767000,2021400,1027800,410400,338400,0,4985100,109800
"P2_C0216",148500,1640700,206100,114300,5400,13500,20217600,7597800,1990800,1143900,568800,373500,0,4865400,97200
"P2_C0218",828000,1098000,84600,39600,900,17100,27646200,2534400,2118600,381600,135000,926100,0,2995200,163800
"P2_C0223",106200,1472400,131400,36000,6300,60300,21461400,3876300,3240000,226800,205200,2432700,502200,4898700,332100
"P2_C0224",106200,1472400,131400,36000,6300,60300,21461400,3876300,3240000,226800,205200,2432700,502200,4898700,332100
"P2_C0226",6822000,586800,213300,50400,2700,13500,23597100,1410300,1118700,648900,401400,0,0,4040100,86400
"P2_C0227",6822000,586800,213300,50400,2700,13500,23597100,1410300,1118700,648900,401400,0,0,4040100,86400
"P2_C0231",273600,583200,355500,75600,4500,7200,15079500,3676500,381600,756900,182700,8105400,1184400,6927300,1405800
"P2_C0232",106200,1457100,134100,35100,7200,61200,21396600,3791700,3266100,229500,261900,2689200,414000,4788000,346500
"P2_C0233",106200,1457100,134100,35100,7200,61200,21396600,3791700,3266100,229500,261900,2689200,414000,4788000,346500
"P2_C0237",199800,1624500,207000,117900,5400,13500,20303100,7509600,2007900,1072800,545400,356400,0,4930200,100800
"P2_C0238",199800,1624500,207000,117900,5400,13500,20303100,7509600,2007900,1072800,545400,356400,0,4930200,100800
"P2_C0239",148500,1640700,206100,114300,5400,13500,20217600,7597800,1990800,1143900,568800,373500,0,4865400,97200
"P2_C0244",478800,1121400,72000,33300,0,29700,28241100,1548900,2059200,259200,235800,537300,0,4142700,228600
"P2_C0248",233100,560700,360900,79200,5400,6300,14526900,3619800,378000,736200,159300,8753400,1284300,6918300,1374300
